NOMBRE_LUGAR,GEOMETRIA
Bally,"[Point (-89.2350,13.6802)]"
Centro Polideportivo,"[Point (-89.2348,13.6831)]"
Caseta de vigilancia La Sultana,"[Point (-89.2376,13.6816)]"
Caseta de pluma Administraci�n,"[Point (-89.2348,13.6814)]"
Caseta A de Cobros La Sultana,"[Point (-89.2366,13.6813)]"
Caseta B de Cobros La Sultana,"[Point (-89.2366,13.6813)]"
Entrada peatonal,"[Point (-89.2380,13.6790)]"
Caseta de cobros Los Proceres,"[Point (-89.2349,13.6828)]"
Acceso Avenida Albert Einstein,"[Point (-89.2351,13.6794)]"
Laboratorio de Estructuras Grandes,"[Point (-89.2337,13.6820)]"
Centro de Servicio Social,"[Point (-89.2366,13.6790)]"
Servicios sanitarios Peatonal,"[Point (-89.2365,13.6789)]"
Cafeter�a anexa La Sultana,"[Point (-89.2371,13.6816)]"
Tienda UCA Peatonal,"[Point (-89.2374,13.6795)]"
Servicio Sanitarios de las Magnas,"[Point (-89.2357,13.6813)]"
Cafeter�a anexa Polideportivo,"[Point (-89.2347,13.6827)]"
Unidad de custodia,"[Point (-89.2350,13.6830)]"
Departamento de organizaci�n de espacios,"[Point (-89.2378,13.6798)]"
Cub�culos de profesores,"[Point (-89.2367,13.6799)]"
Laboratorios de Psicolog�a,"[Point (-89.2364,13.6801)]"
Oficina de mantenimiento,"[Point (-89.2334,13.6823)]"
Cafeter�a anexa Peatonal,"[Point (-89.2374,13.6790)]"
Gimnasio UCA,"[Point (-89.2345,13.6831)]"
Ba�os del polideportivo,"[Point (-89.2347,13.6830)]"
Aula Magna IV,"[Point (-89.2362,13.6812)]"
Aula Magna III,"[Point (-89.2359,13.6812)]"
Aula Magna V,"[Point (-89.2364,13.6810)]"
Aula Magna VI,"[Point (-89.2367,13.6808)]"
Aula Magna II,"[Point (-89.2355,13.6812)]"
Aula Magna I,"[Point (-89.2355,13.6809)]"
Taller de Simulaci�n de Arquitectura,"[Point (-89.2377,13.6796)]"
Distribuidora de Publicaciones,"[Point (-89.2370,13.6790)]"
Capilla,"[Point (-89.2362,13.6787)]"
Cafeter�a Central,"[Point (-89.2356,13.6806)]"
Librer�a UCA,"[Point (-89.2362,13.6803)]"
"Edificio 'P. Ignacio Mart�-Bar�, S.J.'","[Point (-89.2377,13.6798)]"
"Centro de Computo DAE, CINDAE","[Point (-89.2367,13.6798)]"
Edificio de Aulas C y Escuela de Idiomas,"[Point (-89.2366,13.6805)]"
"Edificio P. Francisco Su�rez, S.J.","[Point (-89.2356,13.6799)]"
Auditorio Ignacio Ellacur�a,"[Point (-89.2359,13.6808)]"
"Oficina de Asistencia Legal, Idhuca e Iudop","[Point (-89.2356,13.6793)]"
Edificio de Aulas A,"[Point (-89.2369,13.6800)]"
Edificio de Rector�a,"[Point (-89.2350,13.6807)]"
Unidad de Mantenimiento,"[Point (-89.2330,13.6828)]"
Laboratorios de Ingenier�a,"[Point (-89.2356,13.6797)]"
Edificio Francisco Andr�s Escobar,"[Point (-89.2369,13.6795)]"
"M�dulo A de Profesores, P. Francisco Javier Ibisate, S.J.","[Point (-89.2359,13.6793)]"
Edificio de Aulas B,"[Point (-89.2367,13.6803)]"
Edificio de Aulas D,"[Point (-89.2357,13.6799)]"
"Biblioteca 'P. Florentino Idoante, S.J.'","[Point (-89.2358,13.6803)]"
Estacionamiento Techado Multinivel,"[Point (-89.2351,13.6818)]"
Edificio ICAS,"[Point (-89.2365,13.6818)]"
Centro Monse�or Romero,"[Point (-89.2357,13.6790)]"
M�dulo B de Profesores Dr. Ignacio Mart� Bar�,"[Point (-89.2365,13.6794)]"
"Edificio 'Jon de Cortina, S.J.'","[Point (-89.2358,13.6796)]"
Talleres Gr�ficos,"[Point (-89.2334,13.6827)]"
Edificio de Administraci�n Central,"[Point (-89.2352,13.6812)]"
Entrada Los Proceres,"[Point (-89.2349,13.6831)]"
Despensa,"[Point (-89.2349,13.6831)]"